ta,ss_108,ss_112,ss_133,ss_143,ss_152,ss_156,ss_159,hm_108,hm_112,hm_133,hm_143,hm_152,hm_156,hm_159,rn_108,rn_112,rn_133,rn_143,rn_152,rn_156,rn_159
-0.1857142857142858,0.1,0.0,0.0,0.0,0.0,0.0,0.0,45,47,84,48,48,58,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1857142857142858,0.1,0.0,0.0,0.0,0.0,0.0,0.0,45,47,84,48,48,58,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,53,86,51,49,67,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,53,86,51,49,67,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,53,86,51,49,67,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.257142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,55,77,48,55,66,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.257142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,55,77,48,55,66,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.257142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,55,77,48,55,66,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.257142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,55,77,48,55,66,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.257142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,55,77,48,55,66,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.257142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,55,77,48,55,66,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,51,68,49,53,62,53,0.0,0.0,0.1,0.0,0.0,0.0,0.0
-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,51,68,49,53,62,53,0.0,0.0,0.1,0.0,0.0,0.0,0.0
-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,51,68,49,53,62,53,0.0,0.0,0.1,0.0,0.0,0.0,0.0
-2.0142857142857147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,53,67,49,53,64,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.0142857142857147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,53,67,49,53,64,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.3857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,54,68,50,51,60,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.3857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,54,68,50,51,60,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.3857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,54,68,50,51,60,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.8285714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,56,70,51,50,61,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.8285714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,56,70,51,50,61,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.8285714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,56,70,51,50,61,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.8285714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,56,70,51,50,61,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.8285714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,56,70,51,50,61,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.8285714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,56,70,51,50,61,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.257142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,59,74,52,52,64,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.257142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,59,74,52,52,64,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.257142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,59,74,52,52,64,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,58,85,51,41,64,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,58,85,51,41,64,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,58,85,51,41,64,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.757142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,63,86,53,41,67,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.757142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,63,86,53,41,67,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.757142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,63,86,53,41,67,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.742857142857143,0.0,0.0,0.0,0.0,0.3,0.0,0.3,63,65,85,54,44,69,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.742857142857143,0.0,0.0,0.0,0.0,0.3,0.0,0.3,63,65,85,54,44,69,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.742857142857143,0.0,0.0,0.0,0.0,0.3,0.0,0.3,63,65,85,54,44,69,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.514285714285714,0.6,0.8,1.0,1.0,1.0,0.4,1.0,51,55,85,52,43,65,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.514285714285714,0.6,0.8,1.0,1.0,1.0,0.4,1.0,51,55,85,52,43,65,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.514285714285714,0.6,0.8,1.0,1.0,1.0,0.4,1.0,51,55,85,52,43,65,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9000000000000001,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,50,77,49,38,60,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9000000000000001,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,50,77,49,38,60,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9000000000000001,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,50,77,49,38,60,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9000000000000001,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,50,77,49,38,60,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9000000000000001,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,50,77,49,38,60,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9000000000000001,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,50,77,49,38,60,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9000000000000001,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,50,77,49,38,60,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9000000000000001,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,50,77,49,38,60,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9000000000000001,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,50,77,49,38,60,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9000000000000001,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,50,77,49,38,60,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9000000000000001,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,50,77,49,38,60,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9000000000000001,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,50,77,49,38,60,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.35714285714285704,1.0,1.0,1.0,1.0,1.0,0.8,1.0,33,41,59,43,34,58,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.35714285714285704,1.0,1.0,1.0,1.0,1.0,0.8,1.0,33,41,59,43,34,58,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5857142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,42,55,35,26,55,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5857142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,42,55,35,26,55,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5857142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,42,55,35,26,55,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5857142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,42,55,35,26,55,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5857142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,42,55,35,26,55,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5857142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,42,55,35,26,55,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5857142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,42,55,35,26,55,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5857142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,42,55,35,26,55,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5857142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,42,55,35,26,55,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5857142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,42,55,35,26,55,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5857142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,42,55,35,26,55,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5857142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,42,55,35,26,55,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5142857142857145,1.0,1.0,1.0,1.0,1.0,0.7,1.0,26,34,49,28,22,54,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5142857142857145,1.0,1.0,1.0,1.0,1.0,0.7,1.0,26,34,49,28,22,54,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5142857142857145,1.0,1.0,1.0,1.0,1.0,0.7,1.0,26,34,49,28,22,54,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4714285714285715,1.0,1.0,1.0,1.0,1.0,0.6,1.0,22,33,44,23,20,56,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4714285714285715,1.0,1.0,1.0,1.0,1.0,0.6,1.0,22,33,44,23,20,56,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9142857142857146,1.0,1.0,1.0,1.0,1.0,0.8,1.0,23,33,41,21,17,49,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9142857142857146,1.0,1.0,1.0,1.0,1.0,0.8,1.0,23,33,41,21,17,49,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9142857142857146,1.0,1.0,1.0,1.0,1.0,0.8,1.0,23,33,41,21,17,49,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6714285714285713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22,36,38,21,18,50,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6714285714285713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22,36,38,21,18,50,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6714285714285713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22,36,38,21,18,50,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6714285714285713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22,36,38,21,18,50,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6714285714285713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22,36,38,21,18,50,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
